dataset,experiment,subject,trials_per_class,mode,mean_accuracy,std_accuracy
BNCI2014_001,mu_beta_ssl,8,10,mu_beta_ssl_full_finetune,0.9291666666666666,0.022566773346211
BNCI2014_001,mu_beta_ssl,8,20,mu_beta_ssl_full_finetune,0.9361111111111112,0.0172356578416539
BNCI2014_001,mu_beta_ssl,8,50,mu_beta_ssl_full_finetune,0.9708333333333332,0.0102062072615965
BNCI2014_001,mu_beta_ssl,9,5,mu_beta_ssl_full_finetune,0.7069444444444445,0.1009598991410346
BNCI2014_001,mu_beta_ssl,9,10,mu_beta_ssl_full_finetune,0.8680555555555556,0.0708197154665664
BNCI2014_001,mu_beta_ssl,9,20,mu_beta_ssl_full_finetune,0.7875,0.0751284907572139
BNCI2014_001,mu_beta_ssl,9,50,mu_beta_ssl_full_finetune,0.8166666666666667,0.0279853356661248
PhysionetMI_1_20,masked_ssl,1,5,ssl_frozen_linear_probe,0.5333333333333333,0.0596284793999943
PhysionetMI_1_20,masked_ssl,1,5,ssl_full_finetune,0.5466666666666666,0.1292714628644354
PhysionetMI_1_20,masked_ssl,1,10,ssl_frozen_linear_probe,0.5866666666666667,0.097979589711327
PhysionetMI_1_20,masked_ssl,1,10,ssl_full_finetune,0.72,0.0653197264742181
PhysionetMI_1_20,masked_ssl,2,5,ssl_frozen_linear_probe,0.4533333333333334,0.0266666666666666
PhysionetMI_1_20,masked_ssl,2,5,ssl_full_finetune,0.7066666666666667,0.1083205120618128
PhysionetMI_1_20,masked_ssl,2,10,ssl_frozen_linear_probe,0.4533333333333334,0.0266666666666666
PhysionetMI_1_20,masked_ssl,2,10,ssl_full_finetune,0.8400000000000001,0.08
PhysionetMI_1_20,masked_ssl,3,5,ssl_frozen_linear_probe,0.4533333333333333,0.0777460252646039
PhysionetMI_1_20,masked_ssl,3,5,ssl_full_finetune,0.6,0.1115546702045433
PhysionetMI_1_20,masked_ssl,3,10,ssl_frozen_linear_probe,0.52,0.1066666666666666
PhysionetMI_1_20,masked_ssl,3,10,ssl_full_finetune,0.5866666666666667,0.0979795897113271
PhysionetMI_1_20,masked_ssl,4,5,ssl_frozen_linear_probe,0.5866666666666667,0.0979795897113271
PhysionetMI_1_20,masked_ssl,4,5,ssl_full_finetune,0.64,0.0533333333333333
PhysionetMI_1_20,masked_ssl,4,10,ssl_frozen_linear_probe,0.52,0.1066666666666666
PhysionetMI_1_20,masked_ssl,4,10,ssl_full_finetune,0.6666666666666667,0.0730296743340221
PhysionetMI_1_20,masked_ssl,5,5,ssl_frozen_linear_probe,0.36,0.032659863237109
PhysionetMI_1_20,masked_ssl,5,5,ssl_full_finetune,0.4133333333333333,0.077746025264604
PhysionetMI_1_20,masked_ssl,5,10,ssl_frozen_linear_probe,0.36,0.032659863237109
PhysionetMI_1_20,masked_ssl,5,10,ssl_full_finetune,0.4266666666666666,0.0533333333333333
PhysionetMI_1_20,masked_ssl,6,5,ssl_frozen_linear_probe,0.5066666666666666,0.0533333333333333
PhysionetMI_1_20,masked_ssl,6,5,ssl_full_finetune,0.4266666666666666,0.0533333333333333
PhysionetMI_1_20,masked_ssl,6,10,ssl_frozen_linear_probe,0.5066666666666666,0.0533333333333333
PhysionetMI_1_20,masked_ssl,6,10,ssl_full_finetune,0.6133333333333333,0.0979795897113271
